48	70.0	71.27659574468085	72.55319148936171	73.82978723404256	75.1063829787234	76.38297872340425	77.65957446808511	78.93617021276596	80.2127659574468	81.48936170212767	82.76595744680851	84.04255319148936	85.31914893617021	86.59574468085106	87.87234042553192	89.14893617021276	90.42553191489361	91.70212765957447	92.97872340425532	94.25531914893617	95.53191489361703	96.80851063829788	98.08510638297872	99.36170212765957	100.63829787234043	101.91489361702128	103.19148936170212	104.46808510638297	105.74468085106383	107.02127659574468	108.29787234042553	109.57446808510639	110.85106382978724	112.12765957446808	113.40425531914894	114.68085106382978	115.95744680851064	117.23404255319149	118.51063829787233	119.7872340425532	121.06382978723404	122.34042553191489	123.61702127659575	124.8936170212766	126.17021276595744	127.4468085106383	128.72340425531914	130.0
90.0	5586	6737	5571	5935	6407	6348	5924	5704	5525	5259	5049	4803	4693	4601	4363	4191	4012	3764	3678	3417	3294	3045	2925	2820	2789	2652	2538	2501	2515	2647	3245	3285	3311	3466	3530	3062	3119	4794	4435	4203	3333	3234	1695	1450	1435	1496	1477	1508
91.33333333333333	6512	7698	5733	6304	6446	6432	6077	5951	5896	5700	5425	5259	5051	4902	4679	4474	4194	4029	3756	3593	3427	3283	3036	2928	2974	2751	2716	2613	2565	2628	2825	3111	3497	3442	3678	3532	3330	3308	3395	3678	4029	3370	1649	1508	1649	1676	1615	1354
92.66666666666667	7177	7008	6850	6382	6352	6315	6450	6468	6326	6258	5925	5646	5458	5254	5139	4715	4434	4200	3999	3819	3681	3446	3216	3041	3067	3010	2806	2883	2797	2724	2917	3175	3404	3804	3975	3836	3733	3294	3448	3682	4221	2966	1750	1680	2010	2067	1807	1009
94.0	7198	6555	6348	6236	6149	6358	6702	6834	6965	6618	6338	6107	5750	5612	5333	4954	4710	4458	4209	4041	3811	3699	3608	4216	3970	3198	3136	3231	3000	2901	3304	3548	3619	3901	4125	4230	3837	3529	3375	3477	3485	2941	1560	1831	2355	1827	1135	-3819
95.33333333333333	6936	5887	5994	5171	5864	6517	6921	7005	7236	7101	6628	6325	6050	5892	5600	5256	4935	4555	4323	4201	3978	3898	3733	3601	3738	3308	3211	3213	3144	3398	3493	3470	3600	4080	4229	1378	3841	3877	2848	368	3120	-1704	-4625	2128	-2051	-4716	-3900	-4601
96.66666666666667	5845	5898	6107	6156	6101	6449	6862	7040	7388	6967	6549	6652	6442	6077	5795	5475	5190	4763	4488	4306	4113	3977	3656	3829	3768	3514	2937	3564	3695	3290	-2918	-3701	3103	-1608	-3450	1716	4547	-1041	-5040	-4976	-4720	-1731	2333	2328	2328	1923	-3832	-4318
98.0	6283	6001	6186	6280	6545	6769	7202	7534	7303	6955	6923	6915	6632	6150	5797	5597	3896	4915	4592	4369	4237	4094	3954	4076	4131	3493	3007	3964	-1370	-237	-2065	-4219	-4876	-4563	-4934	-4711	-3407	-392	4253	3668	3081	2788	2655	2641	2451	1977	1861	1820
99.33333333333333	6906	6400	6364	6576	6827	6797	7396	7602	7440	6160	7056	7022	6547	6133	3418	5777	5480	4935	4524	4388	4269	4223	4062	3981	4074	3784	3740	3762	-652	-1783	-4755	-4983	-4881	773	4854	5339	5500	4799	4256	3476	3124	2929	2839	2181	2550	2345	1568	1754
100.66666666666667	7474	7023	7037	6738	6863	7033	7097	7383	7418	5421	7710	3414	3273	4646	2281	4319	5297	4969	4570	4368	4235	4168	4066	4004	3884	-1075	-971	-2133	-2965	-4157	-4270	175	3928	4906	5123	5299	4862	5380	3408	2987	2871	2721	2789	2292	2158	1993	1196	1294
102.0	7013	7242	7282	6158	7173	7147	7190	7473	4365	8201	7055	7970	7810	3504	682	5764	5614	5380	4866	4396	4256	177	-4081	-1160	-3081	-3154	-2700	-2046	-3	-3421	-3467	4299	4903	-220	465	3406	5331	3391	1902	2642	2601	2684	2103	2252	2022	1874	-3744	-4051
103.33333333333333	6848	6696	6980	7395	7339	7625	5608	7340	3112	5422	4208	5076	7599	2474	-60	2063	-348	-37	1542	-178	-1013	3020	4228	4504	4843	4935	3508	-35	-2634	-3750	-3757	1133	-2449	-4998	-1015	3928	3233	2888	2718	2516	2436	2908	2441	2101	1739	1911	1451	-1200
104.66666666666667	6714	6625	7014	6874	5135	7001	6869	7571	5849	5558	6497	4593	3798	1794	2747	1618	-375	218	4433	3759	4322	4389	4565	4718	2535	4813	1265	-2006	-385	-3110	-2473	3375	4378	4199	3826	3368	2684	1415	2509	2352	2232	2311	1378	1880	2083	2130	1379	1294
106.0	6585	6395	6349	6410	6269	6332	6450	6855	6744	6322	6099	6155	6125	3179	5083	4730	4699	1391	3989	3884	1282	4334	4519	4775	4470	4831	4730	4504	-681	1494	-4094	3373	3776	3791	3111	2625	2421	2331	-3217	-388	2017	1976	1667	1826	1742	1443	1144	921
107.33333333333333	6422	6167	5997	5794	5631	5746	5584	5898	5873	6169	5700	5636	5097	4540	4276	4073	4146	3882	3366	3389	3528	3555	3898	4358	4233	3082	4365	4074	4037	3882	3471	3451	3459	3037	2644	2344	2187	1997	-2220	1533	2486	1556	1378	1400	1359	-1120	1102	855
108.66666666666667	6133	5995	5817	5659	5513	5371	5458	5369	5603	5409	4779	4390	4180	3933	3738	3743	3158	2907	2785	2795	2767	2663	2478	3174	3786	1220	404	-3892	-1901	3560	3392	3399	3270	2494	2285	1954	1878	1804	-958	1004	1842	1421	1245	1598	1247	1308	969	617
