40.0 65.0 -1799
40.0 66.85714285714286 -2403
40.0 68.71428571428571 -2187
40.0 70.57142857142857 -1879
40.0 72.42857142857143 -1383
40.0 74.28571428571429 -1544
40.0 76.14285714285714 -1690
40.0 78.0 -1637
41.857142857142854 65.0 -2417
41.857142857142854 66.85714285714286 -2259
41.857142857142854 68.71428571428571 543
41.857142857142854 70.57142857142857 6972
41.857142857142854 72.42857142857143 6272
41.857142857142854 74.28571428571429 2812
41.857142857142854 76.14285714285714 -607
41.857142857142854 78.0 -1467
43.714285714285715 65.0 -1665
43.714285714285715 66.85714285714286 1276
43.714285714285715 68.71428571428571 7358
43.714285714285715 70.57142857142857 10010
43.714285714285715 72.42857142857143 11238
43.714285714285715 74.28571428571429 8578
43.714285714285715 76.14285714285714 716
43.714285714285715 78.0 -1151
45.57142857142857 65.0 -1872
45.57142857142857 66.85714285714286 1798
45.57142857142857 68.71428571428571 9257
45.57142857142857 70.57142857142857 15833
45.57142857142857 72.42857142857143 18898
45.57142857142857 74.28571428571429 12485
45.57142857142857 76.14285714285714 1972
45.57142857142857 78.0 -735
47.42857142857143 65.0 -2065
47.42857142857143 66.85714285714286 920
47.42857142857143 68.71428571428571 9753
47.42857142857143 70.57142857142857 17282
47.42857142857143 72.42857142857143 21065
47.42857142857143 74.28571428571429 12261
47.42857142857143 76.14285714285714 853
47.42857142857143 78.0 -282
49.285714285714285 65.0 -1366
49.285714285714285 66.85714285714286 167
49.285714285714285 68.71428571428571 6929
49.285714285714285 70.57142857142857 10677
49.285714285714285 72.42857142857143 11944
49.285714285714285 74.28571428571429 7209
49.285714285714285 76.14285714285714 280
49.285714285714285 78.0 193
51.14285714285714 65.0 -1143
51.14285714285714 66.85714285714286 -838
51.14285714285714 68.71428571428571 602
51.14285714285714 70.57142857142857 2573
51.14285714285714 72.42857142857143 816
51.14285714285714 74.28571428571429 715
51.14285714285714 76.14285714285714 675
51.14285714285714 78.0 545
53.0 65.0 484
53.0 66.85714285714286 -243
53.0 68.71428571428571 71
53.0 70.57142857142857 718
53.0 72.42857142857143 1038
53.0 74.28571428571429 1141
53.0 76.14285714285714 1031
53.0 78.0 884
