0	(0, 0)
0.05	(0.056371977797016, 3.37344140521214E-10)
0.1	(0.112462916018284, 4.73529825878918E-10)
0.15	(0.167995971427363, 2.79054453738176E-10)
0.2	(0.222702589210476, 6.50279767787903E-10)
0.25	(0.276326390168236, 2.19736246359478E-10)
0.3	(0.328626759459126, 3.70064495533486E-10)
0.35	(0.379382053562308, 5.70568284330155E-10)
0.4	(0.428392355046664, 8.2422527697852E-10)
0.45	(0.475481719786922, 5.34863117221952E-10)
0.5	(0.520499877813045, 4.43662692495223E-10)
0.55	(0.563323366325108, 4.47206371126096E-10)
0.6	(0.603856090847925, 5.00269915735819E-10)
0.65	(0.642029327355672, 5.76574923844597E-10)
0.7	(0.677801193837428, 6.69767837070875E-10)
0.75	(0.711155633653748, 6.18539728957865E-10)
0.8	(0.742100964707967, 5.40753216836197E-10)
0.85	(0.770668057608401, 4.88174207828335E-10)
0.9	(0.796908212422894, 4.75762593178889E-10)
0.95	(0.820890807273336, 4.8801175316207E-10)
1	(0.842700792949763, 5.33248119816586E-10)
1.05	(0.862436106090183, 5.31535563338083E-10)
1.1	(0.880205069574147, 5.18601532193761E-10)
1.15	(0.896123842936991, 5.30206979583287E-10)
1.2	(0.910313978229724, 5.49831923439489E-10)
1.25	(0.922900128256561, 5.83008294521086E-10)
1.3	(0.934007944940773, 6.28873521487914E-10)
1.35	(0.943762196126554, 5.61444216992761E-10)
1.4	(0.952285119762814, 5.37940034276427E-10)
1.45	(0.959695025637656, 5.44640971647553E-10)
1.5	(0.966105146475538, 5.63365983128051E-10)
1.55	(0.971622733262279, 5.88660065284397E-10)
1.6	(0.976348383344944, 6.18379741490175E-10)
1.65	(0.980375585023404, 6.57370854970551E-10)
1.7	(0.983790458590824, 6.50595629740934E-10)
1.75	(0.986671671219236, 5.75040945620252E-10)
1.8	(0.989090501635776, 5.41806840342663E-10)
1.85	(0.991111030056135, 5.22703045808759E-10)
1.9	(0.992790429235311, 5.16056355914638E-10)
1.95	(0.994179333592248, 5.10568537754625E-10)
2	(0.995322265018993, 5.08132025049553E-10)
2.05	(0.996258096044501, 5.1067989364523E-10)
2.1	(0.997020533343715, 5.19292909196887E-10)
2.15	(0.997638607037377, 5.25465432740529E-10)
2.2	(0.998137153702075, 5.37499009246975E-10)
2.25	(0.998537283413381, 5.48918711225635E-10)
2.3	(0.99885682340271, 5.62492085528567E-10)
2.35	(0.999110732969784, 5.51599633732968E-10)
2.4	(0.999311486103436, 5.26218435134698E-10)
2.45	(0.999469419887767, 5.14217796718006E-10)
2.5	(0.999593047982647, 5.14739810391689E-10)
2.55	(0.999689339660238, 5.23750350810631E-10)
2.6	(0.999763965583574, 5.3255757516639E-10)
2.65	(0.999821512248089, 5.42059029908227E-10)
2.7	(0.999865667260066, 5.44408683545976E-10)
2.75	(0.999899378077886, 5.56000198856799E-10)
2.8	(0.999924986805473, 5.67756087181329E-10)
2.85	(0.99994434372019, 5.73666761054689E-10)
2.9	(0.999958902122066, 5.87195896170747E-10)
2.95	(0.999969796958111, 5.98257166456008E-10)
3	(0.999977909502988, 6.16945747846554E-10)
3.05	(0.999983920174213, 5.81163908479813E-10)
3.1	(0.999988351342819, 5.6221403762065E-10)
3.15	(0.999991601788872, 5.42736132187755E-10)
3.2	(0.999993974239039, 5.35393120501961E-10)
3.25	(0.999995697220467, 5.27828303698137E-10)
3.3	(0.999996942290118, 5.18543047049657E-10)
3.35	(0.999997837523047, 5.16615157595975E-10)
3.4	(0.999998478006451, 5.13399220625112E-10)
3.45	(0.999998933948332, 5.19189956860786E-10)
3.5	(0.999999256901334, 5.13317937799255E-10)
