25 0.00 0.01
50 0.02 0.01
75 0.03 0.01
100 0.06 0.01
125 0.10 0.01
150 0.17 0.01
175 0.28 0.01
200 0.42 0.01
225 0.59 0.01
250 0.83 0.01
275 1.16 0.01
300 1.42 0.01
325 1.85 0.01
350 2.31 0.01
375 2.81 0.01
400 3.42 0.01
